神采奕奕,自信,,,,,,,
眉飞色舞,自信,,,,,,,
挑肥拣瘦,挑剔,,,,,,,
拈轻怕重,挑剔,无耻,,,,,,
得寸进尺,贪心,,,,,,,
斤斤计较,挑剔,,,,,,,
坐享其成,无耻,贪心,,,,,,
游手好闲,懒惰,,,,,,,
学无止境,勤奋,抱负,好学,,,,,
学而不厌,勤奋,好学,坚持,,,,,
真才实学,真实,好学,,,,,,
好学不倦,好学,勤奋,,,,,,
勤学好问,好学,勤奋,,,,,,
废寝忘食,勤奋,,,,,,,
争分夺秒,勤奋,,,,,,,
孜孜不倦,勤奋,坚持,,,,,,
闻鸡起舞,勤奋,,,,,,,
自强不息,勤奋,勤奋,,,,,,
只争朝夕,勤奋,勤奋,,,,,,
不甘示弱,勤奋,勤奋,,,,,,
全力以赴,勤奋,专注,勤奋,,,,,
力争上游,勤奋,勤奋,,,,,,
专心一志,专注,勤奋,,,,,,
全神贯注,专注,勤奋,,,,,,
聚精会神,专注,勤奋,,,,,,
目不转睛,专注,勤奋,,,,,,
坚持不懈,坚持,勤奋,,,,,,
积少成多,坚持,,,,,,,
海誓山盟,爱,,,,,,,
心心相印,爱,,,,,,,
万紫千红,红色,紫色,,,,,,
春暖花开,春天,温暖,,,,,,
鸟语花香,春天,生机,,,,,,
姹紫嫣红,红色,紫色,,,,,,
花红柳绿,红色,绿色,春天,生机,,,,
百花争艳,春天,生机,,,,,,
遍地开花,春天,生机,,,,,,
锦上添花,帮助,,,,,,,
火树银花,喜悦,热闹,,,,,,
春花秋月,美好,,,,,,,
花团锦簇,生机,美好,,,,,,
花枝招展,美丽,,,,,,,
奇花异草,生机,,,,,,,
云雾迷蒙,神秘,朦胧,,,,,,
壮志凌云,志向,,,,,,,
风云变幻,变化,,,,,,,
风起云涌,变化,,,,,,,
行云流水,流畅,,,,,,,
风卷残云,迅速,,,,,,,
彤云密布,紧张,,,,,,,
浮云蔽日,蒙蔽,,,,,,,
孤云野鹤,孤独,无助,,,,,,
烟消云散,消失,,,,,,,
朝云暮雨,变化,,,,,,,
大雨倾盆,下雨,,,,,,,
血雨腥风,危险,,,,,,,
风雨交加,下雨,,,,,,,
风调雨顺,安宁,,,,,,,
风雨无阻,坚持,,,,,,,
和风细雨,下雨,,,,,,,
狂风暴雨,下雨,,,,,,,
滂沱大雨,下雨,,,,,,,
春风化雨,温暖,舒适,,,,,,
风雨飘摇,动荡,,,,,,,
斜风细雨,下雨,,,,,,,
未雨绸缪,远虑,,,,,,,
崇山峻岭,山川,,,,,,,
山明水秀,山川,,,,,,,
悬崖峭壁,危险,,,,,,,
峰峦雄伟,山川,壮观,,,,,,
江山如画,美丽,,,,,,,
湖光山色,湖泊,山川,美丽,,,,,
山穷水尽,艰难,,,,,,,
大好河山,山川,河流,,,,,,
地动山摇,壮观,,,,,,,
锦绣河山,山川,,,,,,,
逼上梁山,反抗,,,,,,,
水流湍急,水流,,,,,,,
一泻千里,壮观,水流,,,,,,
波澜壮阔,壮观,,,,,,,
波涛汹涌,壮观,,,,,,,
水平如镜,安宁,湖泊,,,,,,
高山流水,山川,流水,,,,,,
千山万水,艰难,,,,,,,
水滴石穿,坚持,,,,,,,
水乳交融,密切,,,,,,,
血流成河,残忍,,,,,,,
滴水不漏,谨慎,认真,,,,,,
杯水车薪,无力,,,,,,,
洪水猛兽,凶险,危险,,,,,,
五彩缤纷,多彩,,,,,,,
五颜六色,多彩,,,,,,,
一碧千里,绿色,生机,美好,,,,,
翠色欲流,绿色,美好,,,,,,
古色古香,传统,,,,,,,
面如土色,害怕,,,,,,,
五光十色,多彩,,,,,,,
灯红酒绿,繁华,热闹,,,,,,
绿水青山,山川,水流,美丽,,,,,
光彩夺目,美丽,,,,,,,
不可多得,珍贵,罕见,,,,,,
凤毛麟角,罕见,珍贵,,,,,,
九牛一毛,罕见,,,,,,,
绝无仅有,罕见,,,,,,,
空前绝后,罕见,,,,,,,
寥寥无几,罕见,,,,,,,
寥若星辰,罕见,,,,,,,
前所未闻,罕见,,,,,,,
屈指可数,罕见,,,,,,,
铁树开花,罕见,,,,,,,
业精于勤,勤奋,学习,,,,,,
不学无术,懒惰,无知,学习,,,,,
取长补短,智慧,学习,,,,,,
勤学苦练,勤奋,学习,,,,,,
不求甚解,学习,无知,随意,,,,,
囫囵吞枣,学习,无知,随意,,,,,
不骄不躁,谦虚,,,,,,,
大智若愚,智慧,,,,,,,
功成不居,谦虚,,,,,,,
洗耳恭听,礼貌,专注,,,,,,
虚怀若谷,谦虚,谨慎,,,,,,
自知之明,智慧,,,,,,,
谨言慎行,谨慎,,,,,,,
班门弄斧,自负,,,,,,,
孤芳自赏,孤单,高傲,,,,,,
居功自傲,自豪,高傲,,,,,,
目空一切,自负,高傲,,,,,,
目中无人,自负,高傲,,,,,,
恃才傲物,自信,高傲,轻视,,,,,
妄自尊大,自负,轻视,,,,,,
忘乎所以,自信,随意,,,,,,
自高自大,自负,高傲,满意,,,,,
自鸣得意,自豪,满意,,,,,,
自我陶醉,自豪,满意,,,,,,
自命不凡,自负,高傲,,,,,,
自以为是,自负,,,,,,,
对答如流,流畅,优秀,智慧,讨论,,,,
谈笑风生,有趣,讨论,,,,,,
高谈阔论,讨论,浮夸,,,,,,
豪言壮语,豪迈,,,,,,,
夸夸其谈,浮夸,,,,,,,
花言巧语,美好,虚伪,浮夸,,,,,
闭月羞花,美丽,,,,,,,
沉鱼落雁,美丽,,,,,,,
出水芙蓉,美丽,清新,,,,,,
明眸皓齿,美丽,,,,,,,
美如冠玉,美丽,,,,,,,
倾国倾城,美丽,,,,,,,
国色天香,美丽,典雅,,,,,,
眉清目秀,清秀,,,,,,,
和蔼可亲,亲切,,,,,,,
心慈面善,善良,亲切,,,,,,
雍容华贵,美丽,典雅,,,,,,
文质彬彬,文雅,,,,,,,
威风凛凛,豪迈,,,,,,,
老态龙钟,年迈,,,,,,,
虎背熊腰,强壮,,,,,,,
如花似玉,美丽,,,,,,,
容光焕发,自信,活力,,,,,,
弱不禁风,瘦弱,,,,,,,
大腹便便,肥胖,,,,,,,
面黄肌瘦,瘦弱,,,,,,,
绰约多姿,美丽,,,,,,,
蓬头垢面,纷乱,,,,,,,
瘦骨嶙峋,瘦弱,,,,,,,
直言不讳,真实,坦诚,,,,,,
无所顾忌,无畏,,,,,,,
拐弯抹角,犹豫,曲折,影射,,,,,
故弄玄虚,虚伪,浮夸,,,,,,
侃侃而谈,讨论,流畅,,,,,,
虚情假意,虚伪,,,,,,,
旁敲侧击,曲折,影射,,,,,,
喋喋不休,连续,唠叨,,,,,,
慢条斯理,缓慢,,,,,,,
含糊其辞,朦胧,,,,,,,
唠唠叨叨,唠叨,,,,,,,
肆无忌惮,无畏,,,,,,,
娓娓动听,优美,好听,,,,,,
绘声绘色,真实,,,,,,,
自圆其说,智慧,,,,,,,
闲言碎语,讨论,唠叨,,,,,,
眉开眼笑,喜悦,,,,,,,
捧腹大笑,喜悦,激烈,,,,,,
如获至宝,珍贵,,,,,,,
相视而笑,美好,温馨,,,,,,
笑容可掬,喜悦,,,,,,,
喜上眉梢,喜悦,,,,,,,
喜从天降,喜悦,突然,,,,,,
亲密无间,亲密,,,,,,,
情同手足,亲密,,,,,,,
荣辱与共,忠心,,,,,,,
同甘共苦,爱,,,,,,,
关怀备至,温馨,爱,关切,,,,,
盛情款待,热情,,,,,,,
情深似海,爱,狂热,,,,,,
拔刀相助,豪迈,热情,,,,,,
如饥似渴,狂热,,,,,,,
大雨如注,下雨,朦胧,壮观,,,,,
银装素裹,冬天,下雪,壮观,,,,,
皓月千里,夜晚,壮观,,,,,,
晨光熹微,日出,真实,安逸,,,,,
暴风骤雨,壮观,下雨,,,,,,
风驰电掣,迅速,,,,,,,
兴国安邦,爱国,,,,,,,
翻山越岭,辛苦,,,,,,,
背井离乡,辛苦,,,,,,,
长吁短叹,温馨,,,,,,,
道听途说,虚伪,,,,,,,
丢盔弃甲,绝望,,,,,,,
调兵遣将,灵活,,,,,,,
甜言蜜语,爱,,,,,,,
眼疾手快,迅速,,,,,,,
优胜劣汰,奋勇,,,,,,,
鬼鬼祟祟,蒙蔽,,,,,,,
熙熙攘攘,丰富,,,,,,,
战战兢兢,紧张,,,,,,,
沸沸扬扬,丰富,,,,,,,
林林总总,丰富,,,,,,,
支支吾吾,无知,,,,,,,
吞吞吐吐,无知,,,,,,,
浩浩荡荡,丰富,,,,,,,
密密麻麻,丰富,,,,,,,
疏疏朗朗,稀少,,,,,,,
朝朝暮暮,爱,,,,,,,
浑浑噩噩,朦胧,,,,,,,
风风雨雨,下雨,,,,,,,
风风火火,迅速,,,,,,,
堂堂正正,自豪,,,,,,,
偷偷摸摸,无耻,,,,,,,
轰轰烈烈,热情,,,,,,,
朦朦胧胧,朦胧,,,,,,,
隐隐约约,朦胧,,,,,,,
迷迷糊糊,朦胧,,,,,,,
心心念念,关切,,,,,,,
勤勤恳恳,优秀,,,,,,,
踉踉跄跄,缓慢,,,,,,,
口口声声,高傲,,,,,,,
芸芸众生,繁荣,,,,,,,
咄咄逼人,激烈,,,,,,,
头头是道,讨论,,,,,,,
津津有味,好吃,,,,,,,
津津乐道,悠闲,,,,,,,
奄奄一息,绝望,,,,,,,
念念不忘,不舍,,,,,,,
空空如也,孤单,,,,,,,
源源不绝,流畅,,,,,,,
姗姗来迟,缓慢,,,,,,,
面面相觑,无知,,,,,,,
面面俱到,谨慎,,,,,,,
振振有辞,坚持,,,,,,,
窃窃私语,密切,,,,,,,
息息相关,密切,,,,,,,
郁郁寡欢,担忧,无助,,,,,,
彬彬有礼,舒适,典雅,,,,,,
亭亭玉立,美丽,好看,,,,,,
铮铮铁骨,忠心,豪迈,,,,,,
飘飘欲仙,朦胧,,,,,,,
莘莘学子,优秀,,,,,,,
跃跃欲试,活力,自信,,,,,,
井井有条,认真,欣赏,,,,,,
楚楚可怜,可怜,,,,,,,
滔滔不绝,讨论,热情,,,,,,
伶牙俐齿,优秀,智慧,出色,,,,,
出口成章,智慧,优秀,出色,,,,,
语惊四座,智慧,优秀,出色,,,,,
娓娓而谈,智慧,优秀,出色,,,,,
妙语连珠,智慧,优秀,出色,,,,,
口若悬河,智慧,优秀,出色,,,,,
三顾茅庐,坚持,谦虚,,,,,,
铁杵成针,坚持,好学,勤奋,,,,,
望梅止渴,蒙蔽,,,,,,,
完璧归赵,智慧,,,,,,,
四面楚歌,绝望,无力,,,,,,
负荆请罪,大度,坦诚,,,,,,
精忠报国,爱国,奋勇,,,,,,
手不释卷,好学,勤奋,学习,,,,,
悬梁刺股,好学,学习,勤奋,,,,,
凿壁偷光,好学,学习,勤奋,,,,,
走马观花,学习,浮躁,,,,,,
欢呼雀跃,喜悦,活力,,,,,,
扶老携幼,温馨,孝敬,,,,,,
手舞足蹈,狂热,活力,,,,,,
促膝谈心,温馨,讨论,,,,,,
前俯后仰,喜悦,,,,,,,
奔走相告,关切,热闹,,,,,,
跋山涉水,艰辛,疲惫,坚持,,,,,
前赴后继,奋勇,,,,,,,
张牙舞爪,狂热,,,,,,,
恩重如山,感恩,,,,,,,
深情厚谊,友谊,,,,,,,
手足情深,友谊,,,,,,,
形影不离,友谊,,,,,,,
血浓于水,爱,,,,,,,
志同道合,友谊,,,,,,,
风雨同舟,友谊,,,,,,,
赤诚相待,真心,友谊,,,,,,
肝胆相照,友谊,真心,,,,,,
生死相依,友谊,,,,,,,
循序渐进,优秀,,,,,,,
日积月累,学习,勤奋,坚持,,,,,
温故知新,学习,勤奋,,,,,,
勤能补拙,学习,勤奋,,,,,,
笨鸟先飞,学习,勤奋,,,,,,
学海无涯,学习,坚持,,,,,,
滴水穿石,坚持,,,,,,,
发奋图强,奋勇,勤奋,,,,,,
开卷有益,学习,好学,,,,,,
自相矛盾,矛盾,,,,,,,
滥竽充数,虚伪,,,,,,,
画龙点睛,优秀,出色,,,,,,
刻舟求剑,无知,,,,,,,
叶公好龙,虚伪,,,,,,,
亡羊补牢,远虑,,,,,,,
画蛇添足,浮夸,,,,,,,
掩耳盗铃,无知,,,,,,,
买椟还珠,无知,,,,,,,
无懈可击,优秀,出色,,,,,,
锐不可当,优秀,出色,,,,,,
雷厉风行,迅速,,,,,,,
震耳欲聋,声音大,,,,,,,
惊心动魄,紧张,慌张,,,,,,
铺天盖地,纷乱,,,,,,,
势如破竹,优秀,出色,,,,,,
气贯长虹,奋勇,,,,,,,
万马奔腾,壮观,,,,,,,
如履平地,优秀,,,,,,,
满园春色,春天,活力,生机,,,,,
春华秋实,学习,,,,,,,
骄阳似火,夏天,,,,,,,
暑气蒸人,夏天,,,,,,,
烈日炎炎,夏天,,,,,,,
秋风送爽,秋天,,,,,,,
冰天雪地,冬天,,,,,,,
寒气袭人,冬天,,,,,,,
寒冬腊月,冬天,,,,,,,
济济一堂,热闹,,,,,,,
热火朝天,狂热,讨论,,,,,,
高朋满座,热闹,,,,,,,
如火如荼,讨论,狂热,,,,,,
蒸蒸日上,繁荣,,,,,,,
欣欣向荣,生机,,,,,,,
蔚为壮观,壮观,繁荣,,,,,,
富丽堂皇,壮观,,,,,,,
金碧辉煌,壮观,,,,,,,
玉宇琼楼,壮观,,,,,,,
美妙绝伦,壮观,,,,,,,
巧夺天工,优秀,,,,,,,
粉妆玉砌,好看,,,,,,,
别有洞天,美好,,,,,,,
高耸入云,山川,壮观,,,,,,
水天一色,山川,,,,,,,
波光粼粼,山川,,,,,,,
重峦叠嶂,山川,壮观,,,,,,
白练腾空,山川,壮观,,,,,,
烟波浩渺,山川,壮观,,,,,,
繁花似锦,繁荣,芬芳,植物,,,,,
绿草如茵,植物,繁荣,,,,,,
郁郁葱葱,植物,繁荣,,,,,,
古树参天,植物,繁荣,壮观,,,,,
万木争荣,植物,繁荣,壮观,,,,,
绿树成荫,植物,繁荣,,,,,,
三三两两,稀少,随意,,,,,,
微乎其微,稀少,罕见,,,,,,
一鳞半爪,影射,稀少,,,,,,
一丝一毫,稀少,,,,,,,
百里挑一,珍贵,突出,罕见,,,,,
沧海一粟,消失,稀少,,,,,,
千古绝唱,罕见,突出,珍贵,,,,,
微不足道,随意,,,,,,,
独具匠心,出色,突出,独特,,,,,
独树一帜,变化,,,,,,,
独占鳌头,突出,优秀,独特,,,,,
接踵摩肩,纷乱,艰辛,,,,,,
车水马龙,热闹,繁荣,,,,,,
川流不息,变化,,,,,,,
纷至沓来,热闹,纷乱,,,,,,
花花世界,纷乱,繁华,,,,,,
接踵而至,纷乱,,,,,,,
络绎不绝,纷乱,热闹,,,,,,
门庭若市,热闹,繁华,,,,,,
万人空巷,变化,消失,纷乱,,,,,
水泄不通,壮观,纷乱,,,,,,
人声鼎沸,热闹,,,,,,,
人欢马叫,热闹,喜悦,,,,,,
人山人海,热闹,纷乱,,,,,,
座无虚席,热闹,,,,,,,
万籁俱寂,寂静,,,,,,,
鸦雀无声,寂静,,,,,,,
门可罗雀,寂静,孤独,,,,,,
包罗万象,丰富,,,,,,,
琳琅满目,丰富,壮观,,,,,,
美不胜收,美丽,壮观,,,,,,
目不暇接,壮观,美丽,,,,,,
无奇不有,独特,,,,,,,
无穷无尽,丰富,,,,,,,
无所不包,全面,,,,,,,
五花八门,丰富,,,,,,,
形形色色,丰富,,,,,,,
眼花缭乱,丰富,,,,,,,
洋洋大观,繁荣,壮观,,,,,,
一应俱全,丰富,,,,,,,
应有尽有,丰富,,,,,,,
应接不暇,丰富,,,,,,,
比比皆是,普遍,,,,,,,
不乏其人,丰富,,,,,,,
不计其数,丰富,,,,,,,
层出不穷,丰富,,,,,,,
绰绰有余,丰富,,,,,,,
多多益善,丰富,,,,,,,
多如牛毛,丰富,,,,,,,
俯拾皆是,丰富,,,,,,,
举不胜举,丰富,,,,,,,
星罗棋布,丰富,,,,,,,
多才多艺,丰富,优秀,,,,,,
足智多谋,智慧,,,,,,,
丰富多彩,丰富,,,,,,,
春光明媚,春天,光芒,,,,,,
春寒料峭,春天,寒冷,,,,,,
春山如笑,春天,喜悦,,,,,,
春意盎然,春天,美丽,,,,,,
春意阑珊,春天,,,,,,,
大地回春,春天,,,,,,,
柳暗花明,希望,,,,,,,
桃红柳绿,生机,多彩,,,,,,
汗流浃背,炎热,夏天,,,,,,
汗流满面,炎热,夏天,,,,,,
汗如雨下,炎热,夏天,,,,,,
焦金烁石,珍贵,,,,,,,
秋高气爽,秋天,舒适,,,,,,
秋色宜人,秋天,美丽,,,,,,
滴水成冰,冬天,寒冷,,,,,,
风雪交加,冬天,寒冷,下雪,,,,,
数九寒天,冬天,寒冷,,,,,,
天寒地冻,冬天,寒冷,,,,,,
百花齐放,植物,美丽,春天,,,,,
草长莺飞,生机,植物,,,,,,
风光旖旎,美丽,,,,,,,
山光水色,美丽,自然,,,,,,
锦绣山河,美丽,壮观,,,,,,
曲径通幽,描写,幽深,,,,,,
旭日东升,日出,,,,,,,
红装素裹,红色,朴素,,,,,,
良辰美景,美丽,,,,,,,
流连忘返,美丽,不舍,,,,,,
引人入胜,吸引,,,,,,,
别有天地,独特,,,,,,,
拔苗助长,寓言,,,,,,,
狐假虎威,寓言,,,,,,,
坐井观天,寓言,,,,,,,
守株待兔,寓言,,,,,,,
愚公移山,寓言,,,,,,,
精卫填海,寓言,,,,,,,
画饼充饥,寓言,,,,,,,
画地为牢,传统,坚持,,,,,,
杀鸡儆猴,警告,,,,,,,
对牛弹琴,无知,,,,,,,
盲人摸象,无知,,,,,,,
程门立雪,坚持,敬佩,好学,,,,,
渑池之会,出色,奋勇,爱国,,,,,
纸上谈兵,学习,虚伪,,,,,,
指鹿为马,无知,蒙蔽,,,,,,
十面埋伏,凶险,,,,,,,
杞人忧天,紧张,担忧,,,,,,
南柯一梦,虚伪,,,,,,,
卧薪尝胆,抱负,刻苦,,,,,,
洛阳纸贵,珍贵,,,,,,,
一落千丈,无助,无力,,,,,,
一发千钧,着急,迅速,,,,,,
一日千里,迅速,,,,,,,
一事无成,无知,,,,,,,
二话不说,果断,,,,,,,
三心二意,浮躁,,,,,,,
三言两语,,,,,,,,
三足鼎立,分裂,,,,,,,
三头六臂,出色,,,,,,,
四大皆空,消失,虚无,,,,,,
四分五裂,矛盾,分裂,,,,,,
五大三粗,粗心,,,,,,,
五湖四海,,,,,,,,
六神无主,无力,疲惫,,,,,,
六亲不认,冷漠,,,,,,,
七窍生烟,愤怒,,,,,,,
七零八落,分裂,无助,,,,,,
八面威风,豪迈,,,,,,,
八仙过海,,,,,,,,
八面玲珑,全面,智慧,,,,,,
九死一生,凶险,,,,,,,
九九归一,,,,,,,,
十拿九稳,出色,有经验,,,,,,
十全十美,全面,优秀,,,,,,
十万火急,着急,,,,,,,
十指连心,亲密,密切,,,,,,
百战百胜,出色,,,,,,,
百折不挠,密切,,,,,,,
百依百顺,顺从,,,,,,,
千军万马,壮观,,,,,,,
千变万化,变化,,,,,,,
千千万万,壮观,普遍,,,,,,
千呼万唤,等待,,,,,,,
万象更新,变化,繁荣,生机,,,,,
万不得已,无助,,,,,,,
万无一失,全面,顺利,,,,,,
万死不辞,忠心,奋勇,,,,,,
万众一心,团结,,,,,,,
平易近人,亲切,,,,,,,
宽宏大度,大度,,,,,,,
锲而不舍,坚持,,,,,,,
大义凛然,奋勇,,,,,,,
临危不俱,奋勇,,,,,,,
鞠躬尽瘁,忠心,,,,,,,
死而后已,忠心,,,,,,,
料事如神,智慧,远虑,,,,,,
融会贯通,学习,智慧,,,,,,
学贯中西,学习,出色,智慧,,,,,
博古通今,优秀,智慧,,,,,,
才华横溢,出色,优秀,,,,,,
出类拔萃,优秀,出色,,,,,,
博大精深,智慧,优秀,,,,,,
集思广益,讨论,智慧,,,,,,
举一反三,智慧,出色,好学,,,,,
憨态可掬,亲切,,,,,,,
风度翩翩,好看,礼貌,出色,,,,,
相貌堂堂,好看,,,,,,,
斗志昂扬,自信,抱负,,,,,,
意气风发,豪迈,出色,抱负,,,,,
欣喜若狂,喜悦,,,,,,,
喜出望外,喜悦,惊讶,,,,,,
无动于衷,坚持,,,,,,,
勃然大怒,愤怒,突然,,,,,,
能说会道,出色,优秀,讨论,,,,,
巧舌如簧,出色,优秀,讨论,,,,,
能言善辩,出色,优秀,讨论,,,,,
